transaction_id,date,type,total_balance,amount,remaining_balance,remarks,user_id,recipient,transaction_mode
VMTV8F,5/12/2025,Money Transfer,45000,12000,33000,rent money,aryan,john,P2P
CH8HKU,5/12/2025,Bill Payment,33000,140,32860,momo,aryan,,P2M
EZO2S7,5/12/2025,Money Transfer,32860,7600,25260,travel fare,aryan,shruti,P2P
I6HT4Q,5/12/2025,Money Transfer,25260,4500,20760,buy some drinks and beverages for the party,aryan,harry,P2P
RSVMFI,5/12/2025,Mobile Recharge,20760,100,20660,ntc,aryan,,P2M
K8IXI8,5/12/2025,Bill Payment,19660,750,18910,john wick ticket for 2 ,aryan,,P2M
CU4Q9P,5/12/2025,Mobile Recharge,18910,140,18770,ncell topup,aryan,,P2M
TOOTGD,5/12/2025,Money Transfer,21000,15000,6000,buying products from agricultural farm,aryan,shyam,P2P
02JM1M,5/12/2025,Bill Payment,38000,25000,13000,flight ticket for 2 (kathmandu to delhi),aryan,,P2M
3B1MDF,5/12/2025,Money Transfer,55000,23500,31500,rent for 2bhk flat,kush,sanjay,P2P
M5MFED,5/12/2025,Bill Payment,31500,4300,27200,concert ticket for 4,kush,,P2M
E3AA0J,5/21/2025,Mobile Recharge,30689,19925,10764,bought mobile data pack,aryan,,P2M
4DSCZ9,5/18/2025,Money Transfer,18823,1150,17673,gifted cash for birthday,aryan,shruti,P2P
TWG5EG,5/18/2025,Money Transfer,51146,16773,34373,transferred money to sibling,aryan,priya,P2P
KP505K,5/19/2025,Money Transfer,34387,696,33691,paid for groceries,aryan,harry,P2P
PZULK2,5/16/2025,Mobile Recharge,35839,1314,34525,boosted call minutes,aryan,,P2M
02Y4NU,5/12/2025,Mobile Recharge,58834,11949,46885,monthly recharge,aryan,,P2M
8TVVM3,5/16/2025,Bill Payment,58184,14325,43859,internet subscription renewal,aryan,,P2M
U36P93,5/15/2025,Money Transfer,41193,14355,26838,cash sent for urgent need,aryan,john,P2P
KK1U4Q,5/19/2025,Money Transfer,16602,3786,12816,shared restaurant bill,aryan,neha,P2P
9IP8RT,5/21/2025,Bill Payment,22971,4305,18666,broadband renewal fee,aryan,,P2M
EM4CKC,5/17/2025,Bill Payment,26985,11042,15943,internet subscription renewal,aryan,,P2M
AWJLQ9,5/17/2025,Mobile Recharge,15247,1088,14159,recharged ntc number,aryan,,P2M
AMFYYF,5/17/2025,Bill Payment,31306,17783,13523,settled credit card bill,aryan,,P2M
YCH0AW,5/18/2025,Bill Payment,20423,822,19601,water bill payment,aryan,,P2M
V4L3SV,5/20/2025,Bill Payment,48027,13556,34471,insurance premium payment,aryan,,P2M
LRVQYW,5/19/2025,Mobile Recharge,21609,5681,15928,recharged for relative,aryan,,P2M
XYEFR2,5/22/2025,Bill Payment,45464,19372,26092,insurance premium payment,aryan,,P2M
2ZZDO5,5/21/2025,Mobile Recharge,24468,16488,7980,monthly recharge,aryan,,P2M
JDB1YG,5/20/2025,Bill Payment,46770,15088,31682,water bill payment,aryan,,P2M
UO8514,5/20/2025,Mobile Recharge,55088,12980,42108,recharged ntc number,aryan,,P2M
QRZK21,5/21/2025,Money Transfer,8000,3775,4225,sent rent to landlord,aryan,aditya,P2P
T8RIYK,5/21/2025,Mobile Recharge,23202,9604,13598,recharged ntc number,aryan,,P2M
9H49W4,5/20/2025,Mobile Recharge,29717,5205,24512,quick top-up done,aryan,,P2M
C6VNFL,5/19/2025,Mobile Recharge,22700,3243,19457,bought mobile data pack,aryan,,P2M
YRU128,5/20/2025,Mobile Recharge,45278,7224,38054,quick top-up done,aryan,,P2M
RN33YX,5/17/2025,Mobile Recharge,43648,17309,26339,topped up prepaid number,aryan,,P2M
9J1GSA,5/17/2025,Bill Payment,39922,19764,20158,broadband renewal fee,aryan,,P2M
3WW0M1,5/17/2025,Money Transfer,56194,16762,39432,transferred money to sibling,aryan,harry,P2P
X25LUD,5/15/2025,Money Transfer,58767,10504,48263,sent rent to landlord,aryan,shruti,P2P
JRC6L2,5/19/2025,Money Transfer,53725,5382,48343,paid for groceries,aryan,rohan,P2P
LRB0GM,5/12/2025,Bill Payment,23620,1295,22325,settled credit card bill,aryan,,P2M
CZCMIG,5/13/2025,Bill Payment,20313,14420,5893,electricity bill paid,aryan,,P2M
V5IIIA,5/21/2025,Mobile Recharge,22461,3658,18803,monthly recharge,aryan,,P2M
XSR66N,5/19/2025,Bill Payment,37518,12740,24778,internet subscription renewal,aryan,,P2M
